variable,group,label
Harvest 1: Drying Electric Amount (kwh),application_trips,Application Trips
Harvest 1: Drying Fuel Type,application_trips,Application Trips
Harvest 1: Drying Fuel Amount,application_trips,Application Trips
Harvest 1: Drying Fuel Amount Units,application_trips,Application Trips
Harvest 1: Cotton Only: Moisture at Ginning,application_trips,Application Trips
Harvest 1: Peanuts Only: What is the initial moisture content when delivered to the buying point? (%),application_trips,Application Trips
Harvest 1: Distance from field to point of sale (miles),application_trips,Application Trips
Harvest 1: Did you haul back a load?,application_trips,Application Trips
Harvest 1: Transportation Fuel Type,application_trips,Application Trips
composite_field,application_trips,Application Trips
"Application Trip 16, Fertilizer 1: Fertilizer Custom Blend Nitrogen %",application_trips,Application Trips
"Application Trip 16, Fertilizer 1: Fertilizer Custom Blend Phosphorus %",application_trips,Application Trips
"Application Trip 16, Fertilizer 1: Fertilizer Custom Blend Potassium %",application_trips,Application Trips
"Application Trip 16, Fertilizer 1: Slow Release",application_trips,Application Trips
Number of Manure Applications,manure_applications,Manure Applications
Manure Application 1: Rice Only: Organic Fertilizer Type,manure_applications,Manure Applications
Manure Application 1: Pounds of N per Acre (lb/acre),manure_applications,Manure Applications
Manure Application 1: Pounds of P per Acre (lb/acre),manure_applications,Manure Applications
Manure Application 1: Manure Type,manure_applications,Manure Applications
Manure Application 1: Manure Amount,manure_applications,Manure Applications
Number of Harvest Cutting Applications,harvest_questions,Harvest Questions
Harvest Application 1: Sugar Beets Only: Percent Sugar,harvest_questions,Harvest Questions
Harvest Application 1: Estimated Non-Irrigated Yield,harvest_questions,Harvest Questions
Harvest Application 1: Alfalfa Only: Average Harvest Moisture,harvest_questions,Harvest Questions
Harvest Application 1: Alfalfa Only: Harvest Type,harvest_questions,Harvest Questions
Harvest Application 1: Rice Only: How is your yield calculated?,harvest_questions,Harvest Questions
Harvest Application 1: Rice Only: Did you harvest a ratoon crop?,harvest_questions,Harvest Questions
Harvest Application 1: Did you abandon or not harvest any acres you planted for this year?,harvest_questions,Harvest Questions
Harvest Application 1: Harvested Acres,harvest_questions,Harvest Questions
Harvest Application 1: Difference Reason,harvest_questions,Harvest Questions
Harvest Application 1: Distance from field to point of sale (miles),harvest_questions,Harvest Questions
Harvest Application 1: Did you haul back a load?,harvest_questions,Harvest Questions
Harvest Application 1: Fuel Type,harvest_questions,Harvest Questions
Harvest Application 1: Drying System,harvest_questions,Harvest Questions
Harvest Application 1: Alfalfa Drying System,harvest_questions,Harvest Questions
Harvest Application 1: Enter exact drying energy amount?,harvest_questions,Harvest Questions
Harvest Application 1: Points of Moisture Removed from Drying,harvest_questions,Harvest Questions
Harvest Application 1: Drying Energy Source,harvest_questions,Harvest Questions
Harvest Application 1: Drying Electric Amount (kwh / yr),harvest_questions,Harvest Questions
Harvest Application 1: Drying Fuel Type,harvest_questions,Harvest Questions
Harvest Application 1: Drying Fuel Amount,harvest_questions,Harvest Questions
Harvest Application 1: Cotton Only: Moisture at Ginning,harvest_questions,Harvest Questions
Harvest Application 1: Peanuts Only: What is the initial moisture content when delivered to the buying point?,harvest_questions,Harvest Questions
